配件名称       型号            制造商        进价         剩余数量       
鼠标          G102         罗技        99.000000       0
鼠标          G502         罗技        239.000000       0
鼠标          WL600         ThinkPad        49.000000       0
鼠标          Sculpt         微软        336.000000       0
鼠标          WM615         惠普        103.000000       0
CPU          i7-9700k         Inter        3149.000000       0
CPU          i5-9400F         Inter        1499.000000       0
CPU          i3-8100         Inter        869.000000       0
CPU          R5-2600X         AMD        1129.000000       0
CPU          R7-2700         AMD        1999.000000       0
GPU          RTX-2080         NVIDIA        5699.000000       0
GPU          RTX-2070         NVIDIA        3399.000000       0
GPU          RTX-2060         NVIDIA        2279.000000       0
GPU          Radeon-Ⅶ         AMD        6499.000000       0
GPU          RX-Vega64         AMD        5899.000000       0
硬盘          HDTB420YK3AA         东芝        465.000000       0
硬盘          STDR2000         希捷        489.000000       0
硬盘          WDBYFT0040         西部数据        779.000000       0
硬盘          F308         联想        519.000000       0
硬盘          MU-PA1T0B         三星        1299.000000       0
显示器          273V7QHSB         飞利浦        859.000000       0
显示器          C227F396FHC         三星        1129.000000       0
显示器          C27B1H         AOC        999.000000       0
显示器          MG278         HKC        1099.000000       0
显示器          SE2219H         戴尔        749.000000       0
键盘          GK100         HP        149.000000       0
键盘          KB212         戴尔        44.900002       0
键盘          K7         雷神        299.000000       0
键盘          K5819         联想        69.000000       0
键盘          K120         罗技        55.000000       0
鼠标垫          35*24         HP        29.900000       0
鼠标垫          DP100         机械师        24.000000       0
鼠标垫          QT103         Razer        69.000000       0
鼠标垫          LP126         绿联        9.900000       0
鼠标垫          JFD10         樱桃        39.000000       0
耳机          AM115         华为        39.000000       0
耳机          urbeats3         BEATS        499.000000       0
耳机          IG935         三星        79.000000       0
耳机          H150         HP        79.000000       0
耳机          H230P         漫步者        69.000000       0
主板          x79         华南        338.000000       0
主板          B360         微星        2139.000000       0
主板          B360         技嘉        1599.000000       0
主板          H310M         技嘉        1349.000000       0
主板          X399         华硕        2709.000000       0
U盘          BAR         三星        80.000000       0
U盘          DT100         金士顿        49.000000       0
U盘          X730W         HP        92.000000       0
U盘          CZ73         闪迪        80.000000       0
U盘          THN-1280C4         东芝        86.000000       0
